"income","age","education","petition_signed","g"
5,62,5,0,0.149050244858031
6,57,5,0,0.169784713265154
9,53,6,0,0.290447450218396
3,36,5,0,0.179401644271045
7,59,6,0,0.241588807668353
5,41,7,0,0.343251005094292
5,59,7,0,0.286062067957514
2,70,3,0,0.0528168562259316
8,67,6,0,0.234872197411122
2,39,5,0,0.161678077660989
9,35,3,0,0.141577227185096
2,54,3,0,0.0659617560383329
1,22,3,0,0.094567424241548
6,19,3,1,0.140719976337309
9,23,5,0,0.301135756201089
8,64,6,0,0.242924895039814
6,69,3,0,0.0725939536936688
6,76,5,0,0.133812151217625
7,43,7,1,0.37374751165288
1,33,2,0,0.0566205567845094
7,35,7,0,0.401777753715603
10,57,6,0,0.29501096449929
3,79,3,0,0.0502857884774804
8,40,5,1,0.236137054488654
6,60,3,0,0.0820633998297071
6,60,7,0,0.299799283235007
1,63,3,0,0.0539410533364056
4,51,5,0,0.15965924850262
8,73,6,0,0.219328508974011
1,44,2,0,0.0485451661417069
2,95,3,0,0.037120619712739
4,55,5,0,0.15189427639612
5,67,7,1,0.262561543580623
2,88,2,0,0.028085757659197
3,52,3,0,0.073113528954214
7,47,6,0,0.27551405745226
2,68,3,0,0.0543136900219132
7,18,3,0,0.152715209156421
8,75,7,0,0.287508476291231
3,65,5,0,0.124710997347713
4,27,7,0,0.372093826343199
7,41,6,0,0.293542362593547
3,65,3,0,0.061125868613409
2,25,4,0,0.138155112623813
10,36,6,0,0.363285758656223
2,32,2,0,0.0619639505858923
5,49,3,0,0.0883997681290839
10,65,5,0,0.200868471013074
3,31,4,0,0.137266261291645
11,18,3,0,0.199555696235868
2,18,5,1,0.208208768746108
2,55,3,0,0.0650579582272722
7,55,3,0,0.0945142953707733
7,67,7,1,0.295149672695501
8,61,7,0,0.331629709755722
9,26,5,0,0.291897417316897
5,61,5,0,0.150932511314435
5,20,3,0,0.129522896351558
3,69,4,0,0.0832332913520821
7,66,7,0,0.298230327936892
4,58,3,0,0.0726078830070965
3,76,5,0,0.108036487789855
6,35,4,0,0.160576194338951
1,55,3,0,0.0602957757016083
2,73,6,0,0.147271106538034
2,64,2,0,0.0395561157036661
7,43,5,0,0.214272016212984
6,73,3,0,0.0687171135174151
6,55,3,0,0.0877984181071893
5,60,7,1,0.283056409371292
7,57,3,0,0.0920173712143959
2,48,3,0,0.0716337604596354
2,86,4,0,0.0611522708026819
1,56,6,0,0.169907906800492
